raw_series,selection_class,registry_tcode,embedded_tcodes_seen,n_vintages_checked,n_vintages_hard_fail,n_vintages_with_flags,min_transformed_n_valid,median_transformed_n_valid,min_transformed_observed_fraction,median_transformed_observed_fraction,min_transformed_std,median_transformed_std,min_transformed_n_unique,n_zero_variance_vintages,n_near_zero_variance_vintages,n_vintages_with_nonpositive_log_input,n_vintages_with_zero_ratio_input,total_unexpected_transform_missing,total_unexpected_transform_value,total_inf_after_transform,n_vintages_short_pre_evaluation_history,stage2_hard_fail,stage2_status,hard_failure_reasons,stage2_flags,rank_low_min_transformed_n_valid,rank_low_min_transformed_observed_fraction,rank_low_min_transformed_std
PERMITW,ordinary_stable,4,4,198,0,0,600,698.5,0.9802130898,0.9829907781,0.3438773629,0.3777483481,318,0,0,0,0,0,0,0,0,False,pass,,,4,4,91
PPICMM,ordinary_stable,6,6,198,0,0,610,708.5,0.99501868,0.9971731435,0.03067293936,0.03207172843,600,0,0,0,0,0,0,0,0,False,pass,,,17,26,66
REALLN,ordinary_stable,6,6,198,0,0,610,708.5,0.9967320261,0.9971850795,0.004673942654,0.004796126825,606,0,0,0,0,0,0,0,0,False,pass,,,17,69,25
RETAILx,ordinary_stable,5,5,198,0,0,611,709.5,0.9972222222,0.9985765117,0.01175918084,0.01239163771,611,0,0,0,0,0,0,0,0,False,pass,,,43,74,53
RPI,ordinary_stable,5,5,198,0,0,610,709.5,0.9958391123,0.9985601144,0.005183885135,0.005630409881,610,0,0,0,0,0,0,0,0,False,pass,,,17,31,30
S&P 500,ordinary_stable,5,5,198,0,0,611,709.5,0.9983660131,0.9985925398,0.03503947803,0.03581381116,610,0,0,0,0,0,0,0,0,False,pass,,,43,89,67
S&P PE ratio,ordinary_stable,5,5,198,0,0,606,706.5,0.99,0.9941219406,0.04084813304,0.04572728075,606,0,0,0,0,0,0,0,0,False,pass,,,9,10,69
S&P div yield,ordinary_stable,2,2,198,0,0,611,708.5,0.9897567222,0.9970082123,0.1149773038,0.1198007161,611,0,0,0,0,0,0,0,0,False,pass,,,43,9,78
SRVPRD,ordinary_stable,5,5,198,0,0,611,709.5,0.9975031211,0.9985885667,0.001717918842,0.0018230081,611,0,0,0,0,0,0,0,0,False,pass,,,43,75,3
T10YFFM,ordinary_stable,1,1,198,0,0,612,710.5,1,1,1.582105945,1.631955085,373,0,0,0,0,0,0,0,0,False,pass,,,98,106,110
